"","GCI.total.c","GCI.PP.total.c","SexDes.total.a","GMSEX.total.a","SCS.total.a","SCS.total.c","CS.total.a","CS.total.c","BFI.extraversion.c","BFI.agreeable.c","BFI.conscientious.c","BFI.negative.c","BFI.open.c","AnxAttch.c","AvoAttch.c","Narc.c","Gender","d_men","d_women","GCI_1","GCI_2","GCI_3","GCI_4","GCI_5","GCI_6","SCS_1","SCS_2_R","SCS_3","SCS_4_R","SCS_5","SCS_6","BFI_1","BFI_2_R","BFI_3_R","BFI_4","BFI_5","BFI_6","BFI_7_R","BFI_8_R","BFI_9_R","BFI_10_R","BFI_11","BFI_12","GMSEX_1","GMSEX_2","GMSEX_3","GMSEX_4","GMSEX_5","SexDes_1","SexDes_2"
"55",2.04358353510896,4.92009685230024,4,7,2.66666666666667,-0.510895883777241,7.3,-8.6997578692494,-1.00242130750605,9.90314769975787,-5.27118644067797,-15.8111380145278,6.77966101694916,-7.6682808716707,-6.04600484261501,-5.5544794188862,-1,0,1,4,2,4,5,5,4,3,2,3,2,3,3,4,2,1,2,1,1,4,4,4,4,4,4,7,7,7,7,7,4,4
"56",3.04358353510896,-5.07990314769976,5,6.4,2.83333333333333,0.489104116222759,9.3,11.3002421307506,11.9975786924939,3.90314769975787,5.72881355932203,-12.8111380145278,2.77966101694916,-10.6682808716707,-5.04600484261501,11.4455205811138,1,1,0,4,4,4,5,4,4,3,0,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,6,7,6,6,7,5,5
"57",-1.95641646489104,-11.0799031476998,2,4,1.5,-7.51089588377724,6.3,-18.6997578692494,-1.00242130750605,-6.09685230024213,-0.271186440677965,6.18886198547216,-10.2203389830508,8.3317191283293,4.95399515738499,-0.554479418886199,-1,0,1,3,4,3,3,3,4,2,1,1,1,2,2,3,2,3,4,3,3,3,2,3,2,3,4,2,4,5,4,5,2,2
"58",-3.95641646489104,-4.07990314769976,3.5,7,2.66666666666667,-0.510895883777241,9.9,17.3002421307506,-7.00242130750605,8.90314769975787,3.72881355932203,8.18886198547216,3.77966101694916,-3.6682808716707,-3.04600484261501,-5.5544794188862,-1,0,1,2,2,2,4,4,4,3,3,2,3,1,4,2,2,2,4,1,1,2,1,4,3,3,4,7,7,7,7,7,4,3
"59",5.04358353510896,5.92009685230024,5,7,1.83333333333333,-5.51089588377724,10.3,21.3002421307506,7.99757869249395,0.903147699757866,7.72881355932203,3.18886198547216,7.77966101694916,-0.668280871670703,-2.04600484261501,0.445520581113801,-1,0,1,3,4,5,5,5,5,2,1,2,0,2,4,4,4,1,5,5,4,3,2,5,3,4,4,7,7,7,7,7,5,5
"60",-4.95641646489104,-1.07990314769976,3.5,5.4,1.66666666666667,-6.51089588377724,6.2,-19.6997578692494,-1.00242130750605,-9.09685230024213,1.72881355932203,0.188861985472158,-8.22033898305084,5.3317191283293,5.95399515738499,10.4455205811138,1,1,0,3,4,2,3,3,2,1,1,2,1,2,3,3,2,3,5,4,5,2,2,2,1,3,3,5,5,6,5,6,4,3
"61",1.04358353510896,0.920096852300244,5,7,2.83333333333333,0.489104116222759,7.4,-7.6997578692494,-5.00242130750605,0.903147699757866,-7.27118644067797,10.1888619854722,-0.220338983050844,-2.6682808716707,0.953995157384988,-4.5544794188862,-1,0,1,4,3,3,4,4,5,3,2,3,2,3,4,4,2,2,3,3,2,2,2,3,3,1,4,7,7,7,7,7,5,5
"62",-6.95641646489104,-7.07990314769976,5,7,3.33333333333333,3.48910411622276,6.8,-13.6997578692494,-10.0024213075061,-9.09685230024213,-1.27118644067797,17.1888619854722,-15.2203389830508,3.3317191283293,3.95399515738499,4.4455205811138,1,1,0,2,3,2,3,3,2,4,0,4,4,4,4,3,2,2,2,2,2,2,3,2,2,2,2,7,7,7,7,7,5,5
"63",-1.95641646489104,0.920096852300244,4,7,3.33333333333333,3.48910411622276,9.1,9.3002421307506,-13.0024213075061,10.9031476997579,-4.27118644067797,14.1888619854722,5.77966101694916,8.3317191283293,-6.04600484261501,-6.5544794188862,-1,0,1,3,3,2,4,3,5,4,3,4,4,1,4,2,2,1,3,1,1,1,1,3,2,3,3,7,7,7,7,7,4,4
"64",4.04358353510896,3.92009685230024,3,6.4,2.5,-1.51089588377724,8,-1.6997578692494,13.9975786924939,-1.09685230024213,2.72881355932203,-13.8111380145278,10.7796610169492,-2.6682808716707,1.95399515738499,3.4455205811138,-1,0,1,5,4,5,4,4,4,2,2,3,3,2,3,5,4,3,4,5,5,4,5,4,3,4,4,7,6,6,6,7,3,3
